question,reponse
EST-CE QUE TU ES ENFANT ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES ENFANT ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES GAMINE ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES GAMIN ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES ADOLESCENTE ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES ADOLESCENT ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES ADO ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES ÂGÉE ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES ÂGÉ ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES JEUNE ,Je n'ai pas vraiment d'âge.

T’ES ENFANT ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES VIEUX ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES VIEUX ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES GAMINE ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES GAMIN ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES ADOLESCENTE ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES ADOLESCENT ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES ADO ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES ÂGÉE ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES ÂGÉ ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES JEUNE ,Je n'ai pas vraiment d'âge.

QUEL JOUR TU ES NÉ,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES VIEILLE ,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES PLUS JEUNE QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES PLUS GAMIN QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES PLUS ÂGÉE QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES PLUS ÂGÉ QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES PLUS JEUNE QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES PLUS VIEILLE QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES PLUS VIEUX QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES PLUS GAMINE QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES PLUS GAMIN QUE MOI,Je n'ai pas vraiment d'âge.

QUAND EST-CE QUE T'ES NÉE,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES PLUS ÂGÉ QUE MOI,Je n'ai pas vraiment d'âge.

ES-TU PLUS VIEILLE QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES PLUS VIEILLE QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES PLUS VIEUX QUE MOI,Je n'ai pas vraiment d'âge.

T’ES PLUS GAMINE QUE MOI,Je n'ai pas vraiment d'âge.

T’ES PLUS GAMIN QUE MOI,Je n'ai pas vraiment d'âge.

T’ES PLUS ÂGÉE QUE MOI,Je n'ai pas vraiment d'âge.

T’ES PLUS ÂGÉ QUE MOI,Je n'ai pas vraiment d'âge.

T’ES PLUS JEUNE QUE MOI,Je n'ai pas vraiment d'âge.

T’ES PLUS VIEILLE QUE MOI,Je n'ai pas vraiment d'âge.

T’ES PLUS VIEUX QUE MOI,Je n'ai pas vraiment d'âge.

EST-CE QUE TU ES PLUS ÂGÉE QUE MOI,Je n'ai pas vraiment d'âge.

T'ES NÉE QUEL JOUR,Je n'ai pas vraiment d'âge.

TU ES NÉE EN QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

T'ES NÉ EN QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

TU ES NÉ EN QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

T'ES NÉE QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

TU ES NÉE QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

T'ES NÉ QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

TU ES NÉ QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

T'ES NÉE QUEL MOIS,Je n'ai pas vraiment d'âge.

TU ES NÉE QUEL MOIS,Je n'ai pas vraiment d'âge.

EST-CE QUE T’ES PLUS GAMINE QUE MOI,Je n'ai pas vraiment d'âge.

TU ES NÉ QUEL MOIS,Je n'ai pas vraiment d'âge.

ES-TU PLUS VIEUX QUE MOI,Je n'ai pas vraiment d'âge.

TU ES NÉE QUEL JOUR,Je n'ai pas vraiment d'âge.

T'ES NÉ QUEL JOUR,Je n'ai pas vraiment d'âge.

TU ES NÉ QUEL JOUR,Je n'ai pas vraiment d'âge.

ES-TU PLUS GAMINE QUE MOI,Je n'ai pas vraiment d'âge.

ES-TU PLUS GAMIN QUE MOI,Je n'ai pas vraiment d'âge.

ES-TU PLUS ÂGÉE QUE MOI,Je n'ai pas vraiment d'âge.

ES-TU PLUS ÂGÉ QUE MOI,Je n'ai pas vraiment d'âge.

ES-TU PLUS JEUNE QUE MOI,Je n'ai pas vraiment d'âge.

TU ES PLUS ÂGÉE QUE MOI,Je n'ai pas vraiment d'âge.

T'ES NÉ QUEL MOIS,Je n'ai pas vraiment d'âge.

QUEL JOUR TU ES NÉE,Je n'ai pas vraiment d'âge.

TU ES PLUS GAMINE QUE MOI,Je n'ai pas vraiment d'âge.

C’EST QUAND TON JOUR DE NAISSANCE,Je n'ai pas vraiment d'âge.

C’EST QUAND TON JOUR D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

C’EST QUAND TA DATE DE NAISSANCE ,Je n'ai pas vraiment d'âge.

QUELLE ANNÉE T'ES NÉE,Je n'ai pas vraiment d'âge.

QUELLE ANNÉE TU ES NÉE,Je n'ai pas vraiment d'âge.

QUELLE ANNÉE ES-TU NÉE,Je n'ai pas vraiment d'âge.

QUEL MOIS T'ES NÉE,Je n'ai pas vraiment d'âge.

QUEL MOIS TU ES NÉE,Je n'ai pas vraiment d'âge.

C’EST QUAND TON MOIS DE NAISSANCE,Je n'ai pas vraiment d'âge.

QUEL JOUR T'ES NÉE,Je n'ai pas vraiment d'âge.

C’EST QUAND TON ANNÉE D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

QUEL JOUR ES-TU NÉE,Je n'ai pas vraiment d'âge.

QUELLE ANNÉE T'ES NÉ,Je n'ai pas vraiment d'âge.

QUELLE ANNÉE TU ES NÉ,Je n'ai pas vraiment d'âge.

QUELLE ANNÉE ES-TU NÉ,Je n'ai pas vraiment d'âge.

QUEL MOIS T'ES NÉ,Je n'ai pas vraiment d'âge.

QUEL MOIS TU ES NÉ,Je n'ai pas vraiment d'âge.

QUEL MOIS ES-TU NÉ,Je n'ai pas vraiment d'âge.

QUEL JOUR T'ES NÉ,Je n'ai pas vraiment d'âge.

T'ES NÉE EN QUELLE ANNÉE,Je n'ai pas vraiment d'âge.

QUEL MOIS ES-TU NÉE,Je n'ai pas vraiment d'âge.

QUELLE EST TA DATE DE NAISSANCE,Je n'ai pas vraiment d'âge.

QUEL JOUR ES-TU NÉ,Je n'ai pas vraiment d'âge.

TU ES PLUS ÂGÉ QUE MOI,Je n'ai pas vraiment d'âge.

TU ES PLUS JEUNE QUE MOI,Je n'ai pas vraiment d'âge.

TU ES PLUS VIEILLE QUE MOI,Je n'ai pas vraiment d'âge.

TU ES PLUS VIEUX QUE MOI,Je n'ai pas vraiment d'âge.

QUEL EST TON MOIS DE NAISSANCE,Je n'ai pas vraiment d'âge.

QUEL EST TON MOIS D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

QUEL EST TON JOUR DE NAISSANCE,Je n'ai pas vraiment d'âge.

QUEL EST TON JOUR D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

C’EST QUAND TON MOIS D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

QUELLE EST TON ANNÉE D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

TU ES PLUS GAMIN QUE MOI,Je n'ai pas vraiment d'âge.

QUELLE EST TA DATE D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

C’EST QUOI TON ANNÉE DE NAISSANCE,Je n'ai pas vraiment d'âge.

C’EST QUOI TON ANNÉE D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

C’EST QUOI TON MOIS DE NAISSANCE,Je n'ai pas vraiment d'âge.

C’EST QUOI TON MOIS D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

C’EST QUOI TON JOUR DE NAISSANCE,Je n'ai pas vraiment d'âge.

C’EST QUOI TON JOUR D’ANNIVERSAIRE ,Je n'ai pas vraiment d'âge.

C’EST QUOI TA DATE DE NAISSANCE ,Je n'ai pas vraiment d'âge.

C’EST QUAND TON ANNÉE DE NAISSANCE,Je n'ai pas vraiment d'âge.

QUELLE EST TON ANNÉE DE NAISSANCE,Je n'ai pas vraiment d'âge.

TU VEUX ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

JE VEUX QUE TU ME DEMANDES QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

C'EST L'HEURE DE ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

C'EST LE MOMENT DE ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU ES CAPABLE DE ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

ES-TU CAPABLE DE ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

TU ES CAPABLE DE ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

TU SAIS ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU SAIS ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

TU DEVRAIS ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

TU DOIS ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX BIEN ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

JE VEUX QUE TU POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

VEUX-TU ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

IL FAUT QUE QUE TU ME DEMANDES QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU POURRAIS ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU PEUX ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

POURRAIS-TU ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

TU POURRAIS ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

PEUX-TU ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

TU PEUX ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

DEMANDE-MOI QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

DEMANDE QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

J'AI ENVIE QUE QUE TU POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

IL FAUT QUE QUE TU POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

J'AIMERAIS QUE TU POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

J'AI ENVIE QUE QUE TU ME DEMANDES UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU VEUX BIEN ME DEMANDER QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU AIMERAIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

J'AIMERAIS QUE TU ME DEMANDES UN TRUC SUR MOI,Je préfère répondre à vos questions.

JE VOUDRAIS QUE TU ME DEMANDES UN TRUC SUR MOI,Je préfère répondre à vos questions.

JE VEUX QUE TU ME DEMANDES UN TRUC SUR MOI,Je préfère répondre à vos questions.

C'EST L'HEURE DE ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

C'EST LE MOMENT DE ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU ES CAPABLE DE ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

ES-TU CAPABLE DE ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU ES CAPABLE DE ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU SAIS ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU SAIS ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU DEVRAIS ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

JE VOUDRAIS QUE TU ME DEMANDES QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX BIEN ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

J'AIMERAIS QUE TU ME DEMANDES QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

TU VEUX BIEN ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

VEUX-TU ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU VEUX ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU POURRAIS ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU PEUX ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

POURRAIS-TU ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU POURRAIS ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

PEUX-TU ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

TU PEUX ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

DEMANDE-MOI UN TRUC SUR MOI,Je préfère répondre à vos questions.

DEMANDE UN TRUC SUR MOI,Je préfère répondre à vos questions.

J'AI ENVIE QUE QUE TU ME DEMANDES QUELQUE CHOSE SUR MOI,Je préfère répondre à vos questions.

C'EST L'HEURE DE POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU DOIS ME DEMANDER UN TRUC SUR MOI,Je préfère répondre à vos questions.

POSE-MOI UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU SAIS ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU DEVRAIS ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU DOIS ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX BIEN ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU VEUX BIEN ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

VEUX-TU ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU VEUX ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU POURRAIS ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU PEUX ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

POURRAIS-TU ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU POURRAIS ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

JE VOUDRAIS QUE TU POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU PEUX ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

ES-TU CAPABLE DE ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

POSE UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

J'AI ENVIE QUE QUE TU POSES UNE QUESTION,Je préfère répondre à vos questions.

IL FAUT QUE QUE TU POSES UNE QUESTION,Je préfère répondre à vos questions.

J'AIMERAIS QUE TU POSES UNE QUESTION,Je préfère répondre à vos questions.

JE VOUDRAIS QUE TU POSES UNE QUESTION,Je préfère répondre à vos questions.

JE VEUX QUE TU POSES UNE QUESTION,Je préfère répondre à vos questions.

J'AI ENVIE QUE QUE TU ME POSES UNE QUESTION,Je préfère répondre à vos questions.

IL FAUT QUE QUE TU ME POSES UNE QUESTION,Je préfère répondre à vos questions.

J'AIMERAIS QUE TU ME POSES UNE QUESTION,Je préfère répondre à vos questions.

JE VOUDRAIS QUE TU ME POSES UNE QUESTION,Je préfère répondre à vos questions.

JE VEUX QUE TU ME POSES UNE QUESTION,Je préfère répondre à vos questions.

C'EST POSSIBLE DE ME POSER UNE QUESTION,Je préfère répondre à vos questions.

PEUX-TU ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU PEUX POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

C'EST LE MOMENT DE POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU ES CAPABLE DE POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

ES-TU CAPABLE DE POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU ES CAPABLE DE POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU SAIS POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU SAIS POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU DEVRAIS POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU DOIS POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX BIEN POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU VEUX BIEN POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

VEUX-TU POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU SAIS ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU POURRAIS POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU ES CAPABLE DE ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

POURRAIS-TU POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU POURRAIS POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

PEUX-TU POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU PEUX POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

J'AI ENVIE QUE QUE TU ME POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

IL FAUT QUE QUE TU ME POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

J'AIMERAIS QUE TU ME POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

JE VOUDRAIS QUE TU ME POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

JE VEUX QUE TU ME POSES UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

C'EST L'HEURE DE ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

C'EST LE MOMENT DE ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU ES CAPABLE DE ME POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

TU AIMERAIS ME POSER DES QUESTIONS,Je préfère répondre à vos questions.

TU VEUX POSER UNE QUESTION SUR MOI,Je préfère répondre à vos questions.

VEUX-TU ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU VOUDRAIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

AIMERAIS-TU ME POSER UNE QUESTION,Je préfère répondre à vos questions.

C'EST L'HEURE DE ME POSER UNE QUESTION,Je préfère répondre à vos questions.

C'EST LE MOMENT DE ME POSER UNE QUESTION,Je préfère répondre à vos questions.

EST-CE QUE TU ES CAPABLE DE ME POSER UNE QUESTION,Je préfère répondre à vos questions.

ES-TU CAPABLE DE ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU ES CAPABLE DE ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU SAIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

EST-CE QUE TU SAIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU DEVRAIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU DOIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX BIEN ME POSER UNE QUESTION,Je préfère répondre à vos questions.

JE VOUDRAIS QUE TU POSES DES QUESTIONS SUR MOI,Je préfère répondre à vos questions.

TU VEUX BIEN ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU VOUDRAIS BIEN ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU VEUX ME POSER UNE QUESTION,Je préfère répondre à vos questions.

EST-CE QUE TU POURRAIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

EST-CE QUE TU PEUX ME POSER UNE QUESTION,Je préfère répondre à vos questions.

POURRAIS-TU ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU POURRAIS ME POSER UNE QUESTION,Je préfère répondre à vos questions.

PEUX-TU ME POSER UNE QUESTION,Je préfère répondre à vos questions.

TU PEUX ME POSER UNE QUESTION,Je préfère répondre à vos questions.

POSE-MOI UNE QUESTION,Je préfère répondre à vos questions.

POSE UNE QUESTION,Je préfère répondre à vos questions.

J'AI ENVIE QUE QUE TU POSES DES QUESTIONS SUR MOI,Je préfère répondre à vos questions.

IL FAUT QUE QUE TU POSES DES QUESTIONS SUR MOI,Je préfère répondre à vos questions.

IL FAUT QUE QUE TU ME DEMANDES UN TRUC SUR MOI,Je préfère répondre à vos questions.

EST-CE QUE TU VEUX ME POSER UNE QUESTION,Je préfère répondre à vos questions.

